Rank,Profile,Ticker,Sector,Final_Score,Rule_Based_Score,ML_Probability,KMeans_Cluster,HDBSCAN_Cluster_ID,Is_Outlier,RET,VOL,BETA,PE,PB,ROE,ROA,REV_G,EPS_G,DY,Reason
1,Phòng thủ,ACB.VN,Banking,0.6659913672115416,0.6381540171232504,0.8771342209010657,0,1,0,0.133642205020082,0.0161070491537156,0.319,7.247091,1.1859698,0.17508,0.01692,0.127,0.175,4.39,biến động thấp; beta thấp
2,Phòng thủ,BMP.VN,Industrial,0.6525477656678372,0.7353680435064593,0.7511605408532632,1,-1,1,0.4300109317967056,0.0224672108808075,0.657,9.157509,3.5869005,0.3463736000000003,0.2155135976000003,0.054,0.059,10.608400000000008,cổ tức tốt; ROE tốt; lưu ý: mã dị biệt theo HDBSCAN
3,Phòng thủ,HDB.VN,Banking,0.6308018344953081,0.5592977988853796,0.9571735011021696,0,3,0,0.444157572058522,0.0226980993606418,0.5,7.5277085,1.6105832,0.24431999,0.02078,0.103,0.188,2.81,beta thấp; ROE tốt
4,Phòng thủ,NT2.VN,Utilities,0.6246763002771112,0.6104788823546978,0.7893643305152909,1,6,0,0.248684876787723,0.0192524306582566,0.178,5.200208,1.3138819,0.28186,0.09724,0.522,4.779,3.04,biến động thấp; beta thấp; ROE tốt
5,Phòng thủ,TPB.VN,Banking,0.6186473648279669,0.5549330758518236,0.9207768469267616,0,1,0,0.1714584022069438,0.0222481317541997,0.668,5.9307694,0.97564375,0.16904,0.01615,0.09,-0.012,6.03,điểm tổng hợp phù hợp hơn các mã còn lại
6,Phòng thủ,SHB.VN,Banking,0.6084701543775437,0.5276434882417775,0.956478850433198,0,3,0,1.0868238581761482,0.0226856691389455,0.584,5.2083335,0.87103796,0.18304001,0.01416,0.094,0.066,3.2,điểm tổng hợp phù hợp hơn các mã còn lại
7,Phòng thủ,MBB.VN,Banking,0.6060724326542805,0.5245479605575554,0.9555554410559668,0,3,0,0.5245861552569457,0.019003326612167,0.61,7.204611,1.4673853,0.20782,0.02053,0.168,0.144,1.21,biến động thấp
8,Phòng thủ,CTG.VN,Banking,0.5953491855728813,0.5229136481928562,0.9172385273515278,0,3,0,0.3693052018413842,0.0179343354414771,0.741,7.122507,1.4482013,0.22364001,0.01421,0.416,0.646,0.89,biến động thấp; ROE tốt
9,Phòng thủ,PAN.VN,Midcap,0.5952458866918637,0.5783936377502124,0.7614813610668607,1,6,0,0.1768695562953925,0.0220046043842235,0.626,6.016847,1.1464198,0.17608999,0.04083,-0.086,4.439,9.32,cổ tức tốt
10,Phòng thủ,VCG.VN,Construction,0.5948295812800746,0.5883604814380584,0.9319089770937348,3,-1,1,0.4012785924547486,0.0216027818656745,0.551,4.991839436,1.1861408,0.33854,0.0355,0.319,1.756,3.56,ROE tốt; lưu ý: mã dị biệt theo HDBSCAN
11,Phòng thủ,MSB.VN,Banking,0.5916279246133898,0.5038660069573798,0.9556868789728956,0,1,0,0.2987012987012987,0.020046630538867,0.615,7.6745768,1.0251509,0.14335,0.01615,0.099,0.196,2.81,điểm tổng hợp phù hợp hơn các mã còn lại
12,Phòng thủ,LPB.VN,Banking,0.5784380282649139,0.6011554908330915,0.8305167387269996,0,-1,1,0.4393881267431054,0.0215746621720011,0.725,14.226691,3.2124126,0.23426001,0.020669999,-0.025,-0.101,5.64,ROE tốt; lưu ý: mã dị biệt theo HDBSCAN
13,Phòng thủ,VPB.VN,Banking,0.5690062110762797,0.46506294768244255,0.9738485907942798,0,3,0,0.5394199082678464,0.0246532209885813,0.523,8.14996,1.2758288,0.15836,0.02261,0.347,0.591,1.85,beta thấp
14,Phòng thủ,TCB.VN,Banking,0.5642971061294777,0.46596213586319174,0.9524944441009742,0,2,0,0.448046402424195,0.0201870092872197,0.914,8.787346,1.3439496,0.15788999,0.02467,0.211,0.118,2.17,điểm tổng hợp phù hợp hơn các mã còn lại
15,Phòng thủ,HAG.VN,Midcap,0.551776995811206,0.5271336227876876,0.931133839439299,3,-1,1,0.4430894308943089,0.0257815225791926,0.327,6.127451,1.4869381,0.2375,0.05466,0.293,2.301,2.81,beta thấp; ROE tốt; lưu ý: mã dị biệt theo HDBSCAN
16,Phòng thủ,VNM.VN,Consumer,0.5441017931326929,0.732201582895882,0.1262427404223022,1,5,0,0.0616401954500214,0.0163844055164813,0.393,13.400106,4.0184402,0.2768,0.13334,0.246,0.558,9.07,biến động thấp; beta thấp; cổ tức tốt; ROE tốt
17,Phòng thủ,SAB.VN,Consumer,0.5367336485019089,0.7432847341778084,0.0657373383097721,1,0,0,-0.0516897119149943,0.0152928993266467,0.362,13.140604,2.9103966,0.20154,0.09476,0.111,0.513,10.42,biến động thấp; beta thấp; cổ tức tốt
18,Phòng thủ,DPM.VN,Materials,0.5296952620142509,0.46677261918409096,0.8118177143415487,3,10,0,0.1781509538782171,0.0202778928459491,0.36,16.666666,1.5378624,0.1116,0.0436,0.365,0.436,3.28,beta thấp
19,Phòng thủ,GAS.VN,Energy,0.5173956191563512,0.4786560991117008,0.7293453991126427,1,5,0,0.169565246032991,0.0177682020129978,0.698,18.621975,3.177473,0.17497,0.09603,0.481,0.068,2.41,biến động thấp
20,Phòng thủ,HPG.VN,Materials,0.5114021076192916,0.3986431069487624,0.9294077310206316,0,9,0,0.1777777208137272,0.0190352456489414,0.973,9.803921,1.466654,0.16465001,0.058179997,0.406,1.689,1.88,biến động thấp
21,Phòng thủ,HAH.VN,Logistics,0.5045114758463136,0.4913647359298613,0.842224642781643,1,-1,1,0.5807295097613412,0.0267055176261034,0.43,8.692689,2.0633388,0.29677,0.14130999,0.073,-0.039,1.4,beta thấp; ROE tốt; lưu ý: mã dị biệt theo HDBSCAN
22,Phòng thủ,POW.VN,Energy,0.5023344795996558,0.38920778084270485,0.91955613203905,3,11,0,0.2693333849826409,0.020035017151258,0.714,12.594459,1.0843557,0.100480005,0.0306,0.512,1.448,2.81,biến động thấp
23,Phòng thủ,VIB.VN,Banking,0.49060221914858515,0.5931751370431628,0.3015184928734848,0,1,0,0.0708319959311818,0.0177450868318352,0.57,7.132668,1.1013271,0.16360001,0.01432,0.446,0.157,5.66,biến động thấp
24,Phòng thủ,MWG.VN,Retail,0.48781006417934664,0.473766466057225,0.8246941517571568,3,-1,1,0.4814089260772629,0.020571817104407,0.449,14.285714,3.3057745,0.2525,0.06697,0.286,0.748,1.26,beta thấp; ROE tốt; lưu ý: mã dị biệt theo HDBSCAN
25,Phòng thủ,TRA.VN,Pharma,0.47797582376655,0.6726866897362587,0.0283805638046759,1,6,0,0.0082690409245247,0.0120320791108592,0.123,14.025245,2.108778,0.19500999,0.09994,0.14,0.443,5.06,biến động thấp; beta thấp
26,Phòng thủ,DHG.VN,Pharma,0.4757863173650895,0.6590213510970582,0.0578854863885952,1,0,0,0.0474387088432883,0.0117430394098232,0.329,14.224751,2.795642,0.20486,0.11326,0.003,0.186,5.26,biến động thấp; beta thấp
27,Phòng thủ,VRE.VN,Real Estate,0.47475849200746595,0.4411290764720883,0.8638725539080166,0,-1,1,0.8959537572254335,0.0266830342820469,0.927,10.842795,1.5409305,0.14773,0.04242,0.076,0.365,2.81,lưu ý: mã dị biệt theo HDBSCAN
28,Phòng thủ,ANV.VN,Seafood,0.47299858440018777,0.42854453226216077,0.8920696472667009,1,-1,1,0.3869511030708148,0.0287963640538231,0.86,5.6369786,1.6094545,0.3196,0.14551,0.664,0.48,2.22,ROE tốt; lưu ý: mã dị biệt theo HDBSCAN
29,Phòng thủ,SJS.VN,Midcap,0.47142065138683004,0.45528351146959245,0.810888773432461,0,-1,1,1.179172464280397,0.029363369450056,0.365,34.72222,4.769309,0.14119,0.046409998,1.21,1.611,2.81,beta thấp; lưu ý: mã dị biệt theo HDBSCAN
30,Phòng thủ,STB.VN,Banking,0.4700316514826357,0.36269292479097814,0.8645864165158043,3,9,0,0.6216216216216217,0.0222789882437298,0.959,13.7126755,2.229506,0.07754,0.0057200002,-0.275,-0.574,2.81,điểm tổng hợp phù hợp hơn các mã còn lại
31,Phòng thủ,PVD.VN,Energy,0.460565679080406,0.3449096016927231,0.8765158315819993,3,11,0,0.2406060695875214,0.0232617714218211,0.635,18.293636,1.059404,0.071729995,0.035520002,1.263,0.929,1.53,điểm tổng hợp phù hợp hơn các mã còn lại
32,Phòng thủ,DBC.VN,Consumer,0.4586171711486061,0.3733720594399063,0.7890269181626867,3,10,0,0.1154593793542868,0.0221643481758674,1.095,6.455768,0.9915659,0.1751,0.06841,0.143,-0.264,2.81,điểm tổng hợp phù hợp hơn các mã còn lại
33,Phòng thủ,DBD.VN,Pharma,0.4558918308155575,0.6434321756373812,0.021957231477563,1,6,0,-0.1422473657310355,0.013331412455445,0.003,18.903591,2.610827,0.16407,0.08144,0.016,-0.019,3.98,biến động thấp; beta thấp
34,Phòng thủ,EIB.VN,Banking,0.45402158994077596,0.4213162099733021,0.836400971837858,3,-1,1,0.1546666666666667,0.0254436508027534,-0.09976,53.475937,1.5079774,0.02865,0.0046564,-0.281,-0.591,2.81,beta thấp; lưu ý: mã dị biệt theo HDBSCAN
35,Phòng thủ,DGC.VN,Materials,0.44613538304042916,0.5968425467057702,0.1133824013855603,1,0,0,-0.3889403636764981,0.0220530000529658,0.314,7.390983,1.1782672,0.18456,0.09072,-0.244,-0.495,6.25,beta thấp
36,Phòng thủ,VIX.VN,Securities,0.4433268923215629,0.3840249996599335,0.8980375702384379,0,-1,1,1.4190140013268184,0.0322371052046584,1.471,6.802721,1.3546116,0.27235,0.20618,0.603,-0.63,2.81,ROE tốt; lưu ý: mã dị biệt theo HDBSCAN
37,Phòng thủ,FPT.VN,Technology,0.44286598679202815,0.5639331858196472,0.1924510268731004,1,5,0,-0.2550376181275305,0.0195563645051299,0.426,14.184397,3.5720334,0.2849,0.091400005,-0.223,0.137,2.61,biến động thấp; beta thấp; ROE tốt
38,Phòng thủ,BWE.VN,Utilities,0.44174343249286596,0.6003712423816023,0.0859342513029776,3,10,0,0.0241725822063703,0.0152387972763647,-0.058,10.952903,1.5670379,0.18269,0.054190002,0.12,0.5,2.95,biến động thấp; beta thấp
39,Phòng thủ,VHM.VN,Real Estate,0.44124739115281625,0.37857464117509393,0.904980569321002,2,-1,1,1.9375,0.0280356588276708,1.356,28.653296,2.5027304,0.26724002,0.05698,1.4892000000000083,7.715400000000003,2.81,ROE tốt; lưu ý: mã dị biệt theo HDBSCAN
40,Phòng thủ,BVH.VN,Insurance,0.43011511291887095,0.3341790392489003,0.7847591417785629,3,4,0,0.1755466445736297,0.0231792948849196,0.201,17.331022,2.1225724,0.12069,0.01544,0.054,0.189,1.46,beta thấp
41,Phòng thủ,DCM.VN,Materials,0.429832383795753,0.5826293399213348,0.0879673834032746,1,6,0,-0.0288722344952443,0.0204555889721782,0.247,10.7181,1.9076474,0.21162,0.08207,0.552,0.911,4.83,beta thấp
42,Phòng thủ,VCB.VN,Banking,0.4282863322804062,0.5400451034634163,0.2010190394240591,0,2,0,-0.0610578666104065,0.01506423413017,0.529,16.447369,2.4156535,0.16383,0.01543,0.132,0.087,0.866,biến động thấp; beta thấp
43,Phòng thủ,BSR.VN,Energy,0.4268337919677741,0.3677109268100905,0.8777445728028429,3,-1,1,0.2112499748094352,0.027648296818571,0.589,11.709601,2.542857,0.14062999,0.039470002,0.444,0.1805,2.81,lưu ý: mã dị biệt theo HDBSCAN
