Stock,CLOSE,RET,AVG_VOL,VOL,PE,PB,FPE,ROE,ROA,REV_G,EPS_G,GM,PM,OM,DE,CR,QR,BETA,MCAP,FCF,OCF,DY
ACB.VN,24100.0,0.13364220502008206,14600470.766129032,0.016107049153715684,7.247091,1.1859698,5.2056336,0.17508,0.01692,0.127,0.175,0.0,0.51805997,0.67358,46.271,1.666,1.119,0.319,117115763818496.0,-78321256448.0,-58006645506048,4.39
BID.VN,39400.0,0.04288791777579837,4747913.931451613,0.016296400870150538,11.299435,1.7237077,8.848038,0.18096,0.010039999,0.141,0.123,0.0,0.44033,0.58904,46.271,1.666,1.119,0.937,318866861326336.0,-78321256448.0,-138295153524736,1.03
CTG.VN,35650.0,0.36930520184138427,12798420.233870968,0.017934335441477187,7.122507,1.4482013,6.805238,0.22364001,0.01421,0.416,0.646,0.0,0.50629,0.64333,46.271,1.666,1.119,0.741,271454717345792.0,-78321256448.0,-253423823880192,0.89
EIB.VN,21650.0,0.15466666666666673,15809971.262096774,0.0254436508027534,53.475937,1.5079774,12.558685,0.02865,0.00287,-0.281,-0.591,0.0,0.15505,0.31595,46.271,1.666,1.119,-0.406,39862220619776.0,-78321256448.0,-3349824929792,2.81
HDB.VN,27950.0,0.444157572058522,25548462.93951613,0.022698099360641894,7.5277085,1.6105832,4.904658,0.24431999,0.02078,0.103,0.188,0.0,0.50519,0.72029,46.271,1.666,1.119,0.5,129386384719872.0,-78321256448.0,-158680234328064,2.81
LPB.VN,39593.578125,0.43938812674310546,3617395.181451613,0.021574662172001186,14.226691,3.2124126,12.0008675,0.23426001,0.020669999,-0.025,-0.101,0.0,0.55183,0.66639,46.271,1.666,1.119,0.725,158923420073984.0,-78321256448.0,-42249329049600,5.64
MBB.VN,25000.0,0.5245861552569457,32033483.173387095,0.019003326612167044,7.204611,1.4673853,5.5542364,0.20782,0.02053,0.168,0.144,0.0,0.49638,0.68257004,46.271,1.666,1.119,0.61,199763995656192.0,-78321256448.0,-94863211102208,1.21
MSB.VN,12500.0,0.2987012987012987,18620984.762096774,0.020046630538867002,7.6745768,1.0251509,12.0008675,0.14335,0.01615,0.099,0.196,0.0,0.47354,0.61042,46.271,1.666,1.119,0.615,45083999076352.0,-78321256448.0,2615996055552,2.81
SHB.VN,16350.0,1.0868238581761482,78322625.33467741,0.022685669138945593,5.2083335,0.87103796,4.2740417,0.18304001,0.01416,0.094,0.066,0.0,0.55532,0.80978996,46.271,1.666,1.119,0.584,63500617515008.0,-78321256448.0,-52985656770560,3.2
SSB.VN,17200.0,0.02686567164179099,6074718.528225807,0.017672989164418305,15.174437,1.1662554,12.0008675,0.07811,0.00849,-0.569,-0.676,0.0,0.3695,0.61521,46.271,1.666,1.119,0.007,47084749193216.0,-78321256448.0,-18997063974912,2.81
STB.VN,60000.0,0.6216216216216217,12669020.072580645,0.0222789882437298,13.7126755,2.229506,10.65022,0.07754,0.0057200002,-0.275,-0.574,0.0,0.24895,0.44997,46.271,1.666,1.119,0.959,133473272594432.0,-78321256448.0,23215502000128,2.81
TCB.VN,33642.79296875,0.448046402424195,22466813.66532258,0.020187009287219743,8.787346,1.3439496,7.99306,0.15788999,0.02467,0.211,0.118,0.0,0.50819,0.71027,46.271,1.666,1.119,0.914,228531250397184.0,-78321256448.0,-44537544179712,2.17
TPB.VN,17150.0,0.17145840220694386,20080863.68548387,0.022248131754199776,5.9307694,0.97564375,5.8903713,0.16904,0.01615,0.09,-0.012,0.0,0.45663,0.49651,46.271,1.666,1.119,0.668,43275239030784.0,-78321256448.0,-38409343074304,6.03
VCB.VN,57300.0,-0.061057866610406575,5440626.3427419355,0.01506423413017003,16.447369,2.4156535,9.3502245,0.16383,0.01543,0.132,0.087,0.0,0.50307,0.64625,46.271,1.666,1.119,0.529,542283308990464.0,-78321256448.0,-152529958600704,0.69
VIB.VN,16781.84375,0.07083199593118183,12533562.346774194,0.017745086831835215,7.132668,1.1013271,5.156712,0.16360001,0.01432,0.446,0.157,0.0,0.41535,0.51067,46.271,1.666,1.119,0.57,54123688886272.0,-78321256448.0,-27525803671552,5.66
VPB.VN,28199.126953125,0.5394199082678464,32381947.842741936,0.024653220988581314,8.14996,1.2758288,11.219987,0.15836,0.02261,0.347,0.591,0.0,0.50172,0.65835,46.271,1.666,1.119,0.523,214215939850240.0,-78321256448.0,-207254536060928,1.85
FPT.VN,96500.0,-0.25503761812753056,9127030.366935484,0.019556364505129945,14.184397,3.5720334,11.70618,0.2849,0.091400005,-0.223,0.137,0.35819,0.14563,0.16284001,40.119,1.616,1.468,0.426,130318291959808.0,1970171543552.0,9795134291968,2.61
CMG.VN,32409.091796875,-0.2768762765880025,1157515.5040322582,0.022605139758482447,14.947683,1.9900429,5.4560003,0.13036999,0.03731,0.234,0.159,0.18188,0.042129997,0.03842,87.596,1.466,1.322,0.379,6496439500800.0,-478990434304.0,625107795968,2.81
ELC.VN,24350.0,-0.016634596916965783,827899.5685483871,0.01969605070419944,13.7126755,1.3866559,12.0008675,0.091730006,0.03983,0.862,-0.486,0.17374,0.07992,-0.014199999,24.933,2.836,1.961,0.589,24889603915776.0,-244705460224.0,-229022629888,2.81
MWG.VN,88500.0,0.48140892607726293,8995747.983870968,0.020571817104407045,14.285714,3.3057745,20.170088,0.2525,0.06697,0.286,0.748,0.20156999,0.04934,0.062459998,78.202,1.599,1.007,0.449,116739668967424.0,10982478839808.0,4799869747200,1.26
FRT.VN,147700.0,-0.011643468950749414,752794.0766129033,0.02245805633498675,24.570024,5.0185494,15.610905,0.29212,0.043080002,0.295,0.711,0.19586,0.01677,0.03138,224.55,1.176,0.45,0.014,22377656221696.0,-1669179899904.0,-1005803798528,2.81
DGW.VN,38662.72265625,-0.02647867159011308,2051926.2177419355,0.024641245732706433,14.306151,2.5385888,15.637657,0.19156,0.05495,0.54,0.878,0.08894,0.02167,0.03012,75.931,1.492,0.999,0.327,9222734479360.0,289943027712.0,-298938204160,2.4
PNJ.VN,63602.5625,0.022818250278346497,1378382.9072580645,0.021244996488956912,9.98004,2.320336,8.639658,0.27692,0.15341,0.79,1.167,0.21313,0.084960006,0.10825,20.093,3.442,0.876,0.544,33415554400256.0,3325578182656.0,3811873914880,2.04
HPG.VN,26024.236328125,0.17777772081372722,44348829.798387095,0.01903524564894142,9.803921,1.466654,11.015637,0.16465001,0.058179997,0.406,1.689,0.16009001,0.12312,0.12541,64.827,1.208,0.562,0.973,203783615283200.0,883416563712.0,26988861456384,1.88
HSG.VN,12230.76953125,-0.1147595790956365,9613432.653225806,0.022250532115829162,19.157087,0.85912985,5.6823473,0.04765,0.02177,0.061,-0.422,0.12007,0.015420001,0.026349999,72.019,1.275,0.276,1.089,9848779440128.0,-3697385930752.0,-518013452288,3.36
NKG.VN,15000.0,0.023890784982935065,10648760.334677419,0.02378704597834607,38.461536,0.8022924,15.113072,0.02019,0.0049,-0.203,-0.659,0.04343,0.01102,-0.00526,91.053,1.482,0.507,0.923,6131721175040.0,-1133989724160.0,1370197458944,2.81
DGC.VN,65200.0,-0.41636952838565433,2502248.6733870967,0.022053000052965867,7.390983,1.1782672,4.687958,0.18456,0.09072,-0.244,-0.495,0.28944,0.24815,0.16108,7.396,6.591,5.52,0.314,18229363736576.0,-137664200704.0,597337178112,6.25
DCM.VN,32700.0,-0.028872234495244342,3185345.8427419355,0.020455588972178293,10.7181,1.9076474,10.629113,0.21162,0.08207,0.552,0.911,0.24365,0.12621,0.15431,22.382,2.46,1.452,0.247,21943629643776.0,-842264608768.0,-93320486912,4.83
DPM.VN,22400.0,0.1781509538782171,5149210.971774193,0.02027789284594911,16.666666,1.5378624,10.168849,0.1116,0.0436,0.365,0.436,0.17849001,0.070300005,0.08484,26.802,2.412,1.745,0.36,17882027130880.0,-1072691609600.0,-1087297421312,3.28
GVR.VN,26600.0,-0.11543199396328063,3615174.6008064514,0.023968115268269887,23.923445,2.5693464,21.30665,0.09948,0.03659,-0.069,-0.702,0.29757,0.18291001,0.07527,4.779,3.008,2.29,1.426,144800007323648.0,4352489291776.0,6954349494272,1.1
GAS.VN,74900.0,0.16956524603299106,998624.1370967742,0.017768202012997895,18.621975,3.177473,16.402807,0.17497,0.09603,0.481,0.068,0.11846,0.07867,0.091730006,4.651,4.079,3.848,0.698,210650513014784.0,4909993295872.0,8422827229184,2.41
PLX.VN,35750.0,-0.03149872609065396,1780512.0685483871,0.01844068308278894,49.750957,2.1482337,14.549458,0.07374,0.01166,0.454,0.1805,0.05313,0.00522,-0.00629,38.101,1.049,0.616,1.093,54571938349056.0,12496463200256.0,15917255753728,2.79
POW.VN,12800.0,0.2693333849826409,13038538.157258065,0.02003501715125808,12.594459,1.0843557,19.05703,0.100480005,0.0306,0.512,1.448,0.14206,0.08266,0.12720999,80.93,1.352,1.232,0.714,41415916650496.0,-5629040656384.0,3212661751808,2.81
PVD.VN,28450.0,0.2406060695875214,7687429.463709678,0.023261771421821148,18.293636,1.059404,11.634103,0.071729995,0.035520002,1.263,0.929,0.19113001,0.09316,0.12687,31.654,1.665,1.236,0.635,18205070327808.0,-1933041729536.0,1404682633216,1.53
BSR.VN,16200.0,0.2112499748094352,10399059.957805907,0.027648296818571057,11.709601,2.542857,12.0008675,0.14062999,0.039470002,0.444,0.1805,1.0,0.06104,0.06501,41.347,2.052,1.583,0.589,153724093726720.0,2140644573184.0,3298572894208,2.81
BCM.VN,60452.78515625,-0.13135598024581485,478444.125,0.020490464680573736,17.152658,2.5786805,12.0008675,0.15845999,0.024619998,-0.4,-0.23,0.66657996,0.55059,0.32432,113.549,1.606,0.415,0.501,56407499997184.0,-384843218944.0,-411973156864,2.02
